,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-31 11:25:00,374.4620,374.6700,373.9340,373.9340,67285,5
2018-08-31 11:20:00,374.1925,374.4500,373.6000,374.4100,54296,5
2018-08-31 11:15:00,373.9000,374.4060,373.6900,374.3800,51355,5
2018-08-31 11:10:00,373.5900,374.3114,373.4150,374.1900,101783,5
2018-08-31 11:05:00,375.8600,375.8600,373.7000,373.7000,137101,5
2018-08-31 11:00:00,375.1000,375.7900,375.1000,375.7900,129481,5
2018-08-31 10:55:00,375.2100,375.2100,374.6700,374.9800,70552,5
2018-08-31 10:50:00,374.4800,375.1297,374.4300,375.1297,96585,5
2018-08-31 10:45:00,373.7219,374.4100,373.7219,374.4100,117530,5
2018-08-31 10:40:00,373.6800,374.0300,373.5000,373.7803,56759,5
2018-08-31 10:35:00,373.7000,373.8500,373.3589,373.4800,89839,5
2018-08-31 10:30:00,374.1400,374.2300,373.6000,373.7400,71298,5
2018-08-31 10:25:00,375.1300,375.1300,373.7000,374.0600,156676,5
2018-08-31 10:20:00,374.6038,375.0450,374.1800,375.0450,166057,5
2018-08-31 10:15:00,374.7532,374.8390,374.4027,374.5200,130629,5
2018-08-31 10:10:00,373.6000,374.7060,373.6000,374.7060,84469,5
2018-08-31 10:05:00,373.8300,374.3600,373.5500,373.7383,139727,5
2018-08-31 10:00:00,373.0112,373.9700,373.0112,373.7000,136574,5
2018-08-31 09:55:00,374.3600,374.3600,372.4962,372.9700,165435,5
2018-08-31 09:50:00,374.7000,375.1500,373.9600,374.4600,108623,5
2018-08-31 09:45:00,374.8000,374.8000,373.5100,374.2500,197617,5
2018-08-31 09:40:00,375.7500,375.7500,374.5910,375.0300,231205,5
2018-08-31 09:35:00,372.3100,376.0000,371.6600,376.0000,343158,5
2018-08-31 09:30:00,370.4900,373.3800,370.4900,372.5000,293169,5
2018-08-30 15:55:00,371.1700,371.3400,370.9600,371.0900,226854,5
2018-08-30 15:50:00,370.8200,371.1200,370.6000,371.0900,135659,5
2018-08-30 15:45:00,370.5600,371.3329,370.5100,371.0000,112839,5
2018-08-30 15:40:00,371.0000,371.0700,370.5000,370.6000,94150,5
